Year,Datetime,Stage,Stadium,City,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name,Win conditions,Attendance,Half-time Home Goals,Half-time Away Goals,Referee,Assistant 1,Assistant 2,RoundID,MatchID,Home Team Initials,Away Team Initials,Result,Total Goals
1982,1982-06-16 17:15:00,Group Stage,San Mames,Bilbao ,England,3,1,France, ,44172,1,1,GARRIDO Antonio (POR),CASTRO Gaston (CHI),COELHO Arnaldo (BRA),293,878,ENG,FRA,Home Win,4
1982,1982-06-16 21:00:00,Group Stage,Luis Casanova,Valencia ,Spain,1,1,Honduras, ,49562,0,1,ITHURRALDE Arturo Andres (ARG),DOTCHEV Bogdan (BUL),BARRANCOS Luis (BOL),293,901,ESP,HON,Draw,2
1982,1982-06-17 17:15:00,Group Stage,Carlos Tartiere,Oviedo ,Chile,0,1,Austria, ,22500,0,1,CARDELLINO DE SAN VICENTE Juan (URU),CASARIN Paolo (ITA),ARISTIZABAL MURCIA Gilberto (COL),293,764,CHI,AUT,Away Win,1
1982,1982-06-17 17:45:00,Group Stage,Jose Zorrilla,Valladolid ,Czechoslovakia,1,1,Kuwait, ,25000,1,0,DWOMOH Benjamin (GHA),MENDEZ MOLINA Romulo (GUA),VALENTINE Robert (SCO),293,1012,TCH,KUW,Draw,2
1982,1982-06-17 21:00:00,Group Stage,La Romareda,Zaragoza ,Yugoslavia,0,0,Northern Ireland, ,25000,0,0,FREDRIKSSON Erik (SWE),GALLER Bruno (SUI),PALOTAI Karoly (HUN),293,1044,YUG,NIR,Draw,0
1982,1982-06-18 17:15:00,Group Stage,Estadio Municipal de Bala�dos,Vigo ,Italy,1,1,Peru, ,25000,1,0,ESCHWEILER Walter (GER),RUBIO VAZQUEZ Mario (MEX),KLEIN Abraham (ISR),293,994,ITA,PER,Draw,2
1982,1982-06-18 21:00:00,Group Stage,Jose Rico Perez,Alicante ,Argentina,4,1,Hungary, ,32093,2,0,LACARNE Belaid (ALG),VAUTROT Michel (FRA),RAINEA Nicolae (ROU),293,752,ARG,HUN,Home Win,5
1982,1982-06-18 21:00:00,Group Stage,Benito Villamarin,Seville ,Brazil,4,1,Scotland, ,47379,1,1,SILES Jesus Paulino (CRC),CHAN Thomson Tam Sun (HKG),PROKOP Adolf (GDR),293,790,BRA,SCO,Home Win,5
1982,1982-06-19 19:15:00,Group Stage,Riazor,La Coru�A ,Poland,0,0,Cameroon, ,19000,0,0,PONNET Alexis (BEL),ESCHWEILER Walter (GER),RUBIO VAZQUEZ Mario (MEX),293,834,POL,CMR,Draw,0
1982,1982-06-19 21:00:00,Group Stage,Nuevo Estadio,Elche ,Belgium,1,0,El Salvador, ,15000,1,0,MOFFATT Malcolm (NIR),CASTRO Gaston (CHI),JARGUZ Alojzy (POL),293,774,BEL,SLV,Home Win,1
1982,1982-06-19 21:00:00,Group Stage,La Rosaleda,Malaga ,Soviet Union,3,0,New Zealand, ,19000,1,0,EL GHOUL Yusef Mohamed (LBY),SORIANO ALADREN Emilio (ESP),WHITE Clive (ENG),293,1054,URS,NZL,Home Win,3
1982,1982-06-20 17:15:00,Group Stage,El Molinon,Gijon ,Germany,4,1,Chile, ,42000,1,0,GALLER Bruno (SUI),CHRISTOV Vojtech (TCH),BOSKOVIC Tony (AUS),293,813,FRG,CHI,Home Win,5
1982,1982-06-20 17:15:00,Group Stage,San Mames,Bilbao ,England,2,0,Czechoslovakia, ,41123,0,0,CORVER Charles (NED),DOTCHEV Bogdan (BUL),ARISTIZABAL MURCIA Gilberto (COL),293,889,ENG,TCH,Home Win,2
1982,1982-06-20 21:00:00,Group Stage,Luis Casanova,Valencia ,Spain,2,1,Yugoslavia, ,48000,1,1,LUND-SORENSEN Henning (DEN),GARRIDO Antonio (POR),ITHURRALDE Arturo Andres (ARG),293,903,ESP,YUG,Home Win,3
1982,1982-06-21 17:15:00,Group Stage,Carlos Tartiere,Oviedo ,Algeria,0,2,Austria, ,22000,0,0,BOSKOVIC Tony (AUS),CHRISTOV Vojtech (TCH),AL DOY Ebrahim (BHR),293,739,ALG,AUT,Away Win,2
1982,1982-06-21 17:15:00,Group Stage,Jose Zorrilla,Valladolid ,France,4,1,Kuwait, ,30043,2,0,STUPAR Miroslav (URS),FREDRIKSSON Erik (SWE),MATOVINOVIC Damir (CRO),293,919,FRA,KUW,Home Win,5
1982,1982-06-21 21:00:00,Group Stage,La Romareda,Zaragoza ,Honduras,1,1,Northern Ireland, ,15000,0,1,CHAN Thomson Tam Sun (HKG),LABO REVOREDO Enrique (PER),CASARIN Paolo (ITA),293,959,HON,NIR,Draw,2
1982,1982-06-22 17:15:00,Group Stage,Riazor,La Coru�A ,Poland,5,1,Peru, ,25000,0,0,RUBIO VAZQUEZ Mario (MEX),SORIANO ALADREN Emilio (ESP),SANCHEZ ARMINIO Victoriano (ESP),293,1055,POL,PER,Home Win,6
1982,1982-06-22 21:00:00,Group Stage,Nuevo Estadio,Elche ,Belgium,1,1,Hungary, ,37000,0,1,WHITE Clive (ENG),ESCHWEILER Walter (GER),LACARNE Belaid (ALG),293,779,BEL,HUN,Draw,2
1982,1982-06-22 21:00:00,Group Stage,La Rosaleda,Malaga ,Soviet Union,2,2,Scotland, ,45000,0,1,RAINEA Nicolae (ROU),JARGUZ Alojzy (POL),PONNET Alexis (BEL),293,1071,URS,SCO,Draw,4
1982,1982-06-23 17:15:00,Group Stage,Estadio Municipal de Bala�dos,Vigo ,Italy,1,1,Cameroon, ,20000,0,0,DOTCHEV Bogdan (BUL),SORIANO ALADREN Emilio (ESP),SANCHEZ ARMINIO Victoriano (ESP),293,828,ITA,CMR,Draw,2
1982,1982-06-23 21:00:00,Group Stage,Jose Rico Perez,Alicante ,Argentina,2,0,El Salvador, ,32500,1,0,BARRANCOS Luis (BOL),LAMO CASTILLO Augusto (ESP),LACARNE Belaid (ALG),293,751,ARG,SLV,Home Win,2
1982,1982-06-23 21:00:00,Group Stage,Benito Villamarin,Seville ,Brazil,4,0,New Zealand, ,43000,2,0,MATOVINOVIC Damir (CRO),KLEIN Abraham (ISR),CORVER Charles (NED),293,789,BRA,NZL,Home Win,4
1982,1982-06-24 17:15:00,Group Stage,Carlos Tartiere,Oviedo ,Algeria,3,2,Chile, ,16000,3,0,MENDEZ MOLINA Romulo (GUA),FREDRIKSSON Erik (SWE),COELHO Arnaldo (BRA),293,740,ALG,CHI,Home Win,5
1982,1982-06-24 17:15:00,Group Stage,Jose Zorrilla,Valladolid ,France,1,1,Czechoslovakia, ,28000,0,0,CASARIN Paolo (ITA),DWOMOH Benjamin (GHA),PALOTAI Karoly (HUN),293,922,FRA,TCH,Draw,2
1982,1982-06-24 21:00:00,Group Stage,La Romareda,Zaragoza ,Honduras,0,1,Yugoslavia, ,25000,0,0,CASTRO Gaston (CHI),SILES Jesus Paulino (CRC),ITHURRALDE Arturo Andres (ARG),293,962,HON,YUG,Away Win,1
1982,1982-06-25 17:15:00,Group Stage,El Molinon,Gijon ,Germany,1,0,Austria, ,41000,1,0,VALENTINE Robert (SCO),AL DOY Ebrahim (BHR),COELHO Arnaldo (BRA),293,770,FRG,AUT,Home Win,1
1982,1982-06-25 17:15:00,Group Stage,San Mames,Bilbao ,England,1,0,Kuwait, ,39700,1,0,ARISTIZABAL MURCIA Gilberto (COL),LUND-SORENSEN Henning (DEN),GARCIA CARRION Jose L. (ESP),293,882,ENG,KUW,Home Win,1
1982,1982-06-25 21:00:00,Group Stage,Luis Casanova,Valencia ,Northern Ireland,1,0,Spain, ,49562,0,0,ORTIZ Hector (PAR),LABO REVOREDO Enrique (PER),PONNET Alexis (BEL),293,902,NIR,ESP,Home Win,1
1982,1982-06-28 17:15:00,Group Stage,Vicente Calderon,Madrid ,Austria,0,1,France, ,37000,0,1,PALOTAI Karoly (HUN),CHRISTOV Vojtech (TCH),MATOVINOVIC Damir (CRO),294,767,AUT,FRA,Away Win,1
1982,1982-06-28 21:00:00,Group Stage,Camp Nou,Barcelona ,Poland,3,0,Belgium, ,65000,2,0,SILES Jesus Paulino (CRC),LABO REVOREDO Enrique (PER),CASTRO Gaston (CHI),294,782,POL,BEL,Home Win,3
1982,1982-06-29 17:15:00,Group Stage,Sarria,Barcelona ,Italy,2,1,Argentina, ,43000,0,0,RAINEA Nicolae (ROU),GALLER Bruno (SUI),LACARNE Belaid (ALG),294,753,ITA,ARG,Home Win,3
1982,1982-06-29 21:00:00,Group Stage,Santiago Bernabeu,Madrid ,Germany,0,0,England, ,75000,0,0,COELHO Arnaldo (BRA),ORTIZ Hector (PAR),MENDEZ MOLINA Romulo (GUA),294,879,FRG,ENG,Draw,0
1982,1982-07-01 17:15:00,Group Stage,Vicente Calderon,Madrid ,Austria,2,2,Northern Ireland, ,20000,0,1,PROKOP Adolf (GDR),FREDRIKSSON Erik (SWE),ESCHWEILER Walter (GER),294,771,AUT,NIR,Draw,4
1982,1982-07-01 21:00:00,Group Stage,Camp Nou,Barcelona ,Belgium,0,1,Soviet Union, ,45000,0,0,VAUTROT Michel (FRA),CORVER Charles (NED),GARRIDO Antonio (POR),294,783,BEL,URS,Away Win,1
1982,1982-07-02 17:15:00,Group Stage,Sarria,Barcelona ,Argentina,1,3,Brazil, ,44000,0,1,RUBIO VAZQUEZ Mario (MEX),ARISTIZABAL MURCIA Gilberto (COL),CASTRO Gaston (CHI),294,750,ARG,BRA,Away Win,4
1982,1982-07-02 21:00:00,Group Stage,Santiago Bernabeu,Madrid ,Germany,2,1,Spain, ,90089,0,0,CASARIN Paolo (ITA),WOEHRER Franz (AUT),PALOTAI Karoly (HUN),294,900,FRG,ESP,Home Win,3
1982,1982-07-04 17:15:00,Group Stage,Vicente Calderon,Madrid ,France,4,1,Northern Ireland, ,37000,1,0,JARGUZ Alojzy (POL),RAINEA Nicolae (ROU),EL GHOUL Yusef Mohamed (LBY),294,920,FRA,NIR,Home Win,5
1982,1982-07-04 21:00:00,Group Stage,Camp Nou,Barcelona ,Poland,0,0,Soviet Union, ,65000,0,0,VALENTINE Robert (SCO),LUND-SORENSEN Henning (DEN),WHITE Clive (ENG),294,1058,POL,URS,Draw,0
1982,1982-07-05 17:15:00,Group Stage,Sarria,Barcelona ,Italy,3,2,Brazil, ,44000,2,1,KLEIN Abraham (ISR),CHAN Thomson Tam Sun (HKG),DOTCHEV Bogdan (BUL),294,788,ITA,BRA,Home Win,5
1982,1982-07-05 21:00:00,Group Stage,Santiago Bernabeu,Madrid ,Spain,0,0,England, ,75000,0,0,PONNET Alexis (BEL),VAUTROT Michel (FRA),LACARNE Belaid (ALG),294,877,ESP,ENG,Draw,0
1982,1982-07-08 17:15:00,Semi-finals,Camp Nou,Barcelona ,Poland,0,2,Italy, ,50000,0,1,CARDELLINO DE SAN VICENTE Juan (URU),SOCHA David (USA),ARISTIZABAL MURCIA Gilberto (COL),295,996,POL,ITA,Away Win,2
